dept_id,weekly_sales
92,483943341.87
95,449320162.52
38,393118136.92
72,305725152.21
90,291068463.68
40,288936022.05
2,280611174.43
91,216781705.73
13,197321569.95
8,194280780.73
94,189912450.33
4,167146745.58
93,159698663.19
7,155477562.75
79,141396544.14
23,138180330.78
5,135607358.57
9,128393256.65
46,128344411.44
1,123638776.54
10,117897387.58
81,99552029.31
82,99547080.33
14,95694666.45
11,93329276.38
16,91670682.27
97,89496511.9
74,88781985.57
87,85760075.61
34,83223625.43
3,75892449.95
96,73833916.16
80,71774060.2
17,65319816.63
55,59970455.35
22,59723107.36
25,57111218.62
67,47880777.68
26,43900009.6
32,40698960.81
98,39828919.37
18,36897489.06
49,36572901.71
33,34883969.93
24,34347586.26
20,33349645.11
42,33219291.57
21,32064645.08
71,30383022.89
29,30009602.42
6,28420667.14
12,26760119.51
44,25449612.96
56,22511522.87
30,21789381.43
83,19988830.84
58,16255763.57
35,15472775.08
31,14193384.22
85,13710696.21
52,12086936.99
36,10709513.77
41,10600265.07
27,8897336.59
37,8017243.35
19,6816183.11
65,6498163.99
59,4240394.52
50,4153197.13
28,3785153.25
48,2342804.61
60,2005020.96
54,516294.63
99,358149.85
77,49344.27
45,44937.63
51,30572.83
78,1714.71
39,177.98
43,14.32
47,-4962.93
